giata,giata_name,giata_latitude,giata_longitude,hilton,hilton_name,hilton_latitude,hilton_longitude,score
96293346,"Hampton Inn St. Charles St. Peters",38.792238,-90.558625,STLST,"Hampton Inn by Hilton St. Charles St. Peters",38.792454,-90.558701,33.491604
77918786,"Rome Cavalieri a Waldorf Astoria Resort",41.918868,12.446678,ROMHI,"Rome Cavalieri, A Waldorf Astoria Hotel",41.91721,12.44575,30.494818
56433495,"Hampton Inn Lexington I 75",38.043491557919,-84.423519819975,LEXEH,"Hampton Inn I-75 Lexington/Hamburg Area",38.043571,-84.423904,26.681252
94917037,"Hilton Zurich Airport",47.436981457481,8.571838438511,ZRHHI,"Hilton Zurich Airport",47.436969,8.571582,21.311707
18192262,"Hampton Inn Wheeling",40.07631113396,-80.69795662999,WHEWV,"Hampton Inn Wheeling",40.076107,-80.69915,20.16169
18519393,"Hilton Garden Inn Evansville",37.974532292572,-87.456498682857,EVVEV,"Hilton Garden Inn Evansville",37.97464,-87.456467,21.279055
11517291,"Hampton Inn Atlanta Town Center/Kennesaw",34.009341,-84.582651333333,ATLTC,"Hampton Inn Atlanta-Town Center/Kennesaw",34.007243,-84.585034,29.014511
99725291,"Hampton Inn Atlanta/Douglasville",33.731051297498,-84.740385649854,ATLDV,"Hampton Inn Atlanta/Douglasville-Arbor Place Mall",33.729739,-84.747206,25.288303
77532044,"Hampton Inn & Suites Boynton Beach",26.547444629284,-80.087110698223,BOYBH,"Hampton Inn & Suites Boynton Beach",26.546737,-80.089614,23.142193
21535095,"DoubleTree Suites by Hilton Hotel Doheny Beach - Dana Point",33.463729235534,-117.68123894124,SNADB,"Hilton Garden Inn Dana Point Doheny Beach",33.46378,-117.681244,21.457844
37673335,"Springhill Suites Nashville Brentwood",36.03472487,-86.78450363,BNABW,"Hilton Brentwood/Nashville Suites",36.032738,-86.780815,20.166693
99725291,"Hampton Inn Atlanta/Douglasville",33.731051297498,-84.740385649854,FWAFH,"Hampton Inn Atlanta/Douglasville-Arbor Place Mall",33.729739,-84.747206,25.288303
65383997,"Hampton Inn & Suites Newport Middletown",41.514154879762,-71.300803199893,MTNRI,"Hampton Inn & Suites Newport/Middletown",41.514106,-71.301476,25.865255
17852880,"Homewood Suites by Hilton Manchester/Airport",42.93650750148,-71.444671733084,MHTHW,"Homewood Suites by Hilton Manchester/Airport",42.928923,-71.450045,25.243553
66912720,"Embassy Suites by Hilton St. Louis St. Charles",38.769917,-90.502308,STLEM,"Embassy Suites by Hilton St. Louis St. Charles",38.770869,-90.50206,35.007393
83178706,"DoubleTree Breckenridge",39.475133597006,-106.05017244816,QKBVR,"DoubleTree by Hilton Breckenridge",39.475988,-106.049858,20.04625
81631451,"Hampton by Hilton Chengdu Longquanyi",30.56683234,104.24098177,CTULO,"Hilton Chengdu Longquanyi",30.58,104.180565,19.996143
16192822,"Homewood Suites by Hilton Shreveport",32.45351,-93.845661,SHVHW,"Homewood Suites by Hilton Shreveport",32.452802,-93.844359,24.77645
62054811,"DoubleTree by Hilton Hotel Bend",44.056887,-121.311453,RDMNB,"The Newberry Hotel Bend, Tapestry Collection by Hilton",44.0565,-121.3111,15.655684
16270731,"DoubleTree by Hilton Hotel Princeton",40.366401228649,-74.597449694729,PCTDT,"DoubleTree by Hilton Princeton",40.3664,-74.5972,21.185497
64293302,"Martinique New York on Broadway, Curio Collection by Hilton",40.748280960033,-73.987802014715,NYCCU,"Martinique New York on Broadway, Curio Collection by Hilton",40.748323,-73.987939,36.011417
78288317,"Canopy by Hilton Washington DC Bethesda North",39.05101345,-77.11661124,DCABN,"Canopy by Hilton Washington, DC - Bethesda North",39.0508,-77.116915,35.168877
11964055,"Hampton Inn Miami Beach - Mid Beach",25.81268082,-80.12331869,MIACA,"Hampton Inn Miami Beach - Mid Beach",25.812667,-80.123277,28.367748
41246411,"Hampton by Hilton Aachen Tivoli",50.78883927,6.09409571,AAHHX,"Hampton by Hilton Aachen Tivoli",50.789,6.094275,27.895792
14594480,"Home2 Suites by Hilton Chicago McCormick Place",41.85266071,-87.62305054,CHIMI,"Home2 Suites by Hilton Chicago McCormick Place",41.852713,-87.622825,30.305466
