id,name,locale,geo_latitude,geo_longitude,code,score,
1,The Cove Atlantis,Paradise Island,25.086658,-77.32692,26319691,100,
2,"The Ocean Club, A Four Seasons Resort",Nassau,25.082821,-77.311623,38413942,13.526882,
3,Rosewood Mayakoba,Riviera Maya,20.690386,-87.023071,99643335,100,
4,Hotel Esencia,Riviera Maya,20.478401,-87.253029,24354080,100,
6,"Paraiso de la Bonita, a Luxury Collection Adult All-Inclusive Resort",Riviera Maya,20.912419,-86.846772,1002,100,
7,"Maroma, A Belmond Hotel, Riviera Maya",Riviera Maya,20.740248,-86.968071,1003,100,
8,COMO Parrot Cay,Parrot Cay,21.763577,-72.258827,70394502,100,
10,Amanyara,Providenciales,21.826504,-72.338257,67524306,100,
11,Fairmont Mayakoba,Riviera Maya,20.691231,-87.033813,99874455,24.426744,
12,"La Samanna, A Belmond Hotel, St. Martin",Terres Basses,18.055754,-63.139282,13937120,100,
13,Four Seasons Resort Nevis,Nevis,17.160089,-62.625866,95736651,25.424812,
14,"Aurora Anguilla, Resort & Golf Club",Rendezvous Bay,18.178371,-63.116734,59371666,100,
15,Four Seasons Resort Costa Rica at Peninsula Papagayo,Guanacaste,10.62809,-85.680725,77121520,35.917976,
16,"Cap Juluca, A Belmond Hotel, Anguilla",Maundays Bay,18.16597,-63.14505,86520971,100,
17,Grace Bay Club,Providenciales,21.79784,-72.174072,45422295,100,
18,The Palms Turks and Caicos,Providenciales,21.792866,-72.192123,69499211,100,
20,Four Seasons Resort and Residences Anguilla,Barnes Bay,18.178875,-63.145168,42638160,29.353546,
21,Wymara Resort & Villas,Providenciales,21.782051,-72.212006,70868640,100,
24,Le Sereno,Grand Cul de Sac,17.909693,-62.804245,28985724,17.739693,
25,Eden Rock St. Barths,St Jean,17.903297,-62.836193,34962957,29.409502,
26,Banyan Tree Mayakoba,Riviera Maya,20.681562,-87.026039,71329131,100,
28,Grand Velas Riviera Maya,Riviera Maya,20.674137,-87.023514,21569211,100,
29,Cheval Blanc St-Barth,Flamands,17.919111,-62.855392,59475906,23.017162,
31,Jumby Bay Island,Long Island,17.154385,-61.759792,47387644,100,
34,"The St. Regis Bahia Beach Resort, Puerto Rico",Rio Grande,18.412518,-65.819695,95335600,32.13147,
35,The Reef Atlantis,Paradise Island,25.084954,-77.3277899,14354317,100,
37,Hotel Christopher St. Barth,Pointe Milou,17.913946,-62.817135,17467611,100,
